retailer,item_id,upc_gtin,title,brand,category,price_usd,currency,in_stock,is_verified_1p
Walmart,872018804,883383013535,Weekender - Stetson Walnut Felt Fedora Hat - TFWKDR,Stetson,Hats,,USD,1,1
Walmart,482910481,693810294815,Discovered Walmart Item,Joybuy Eco,Cleaning Tools,,USD,1,1
Walmart,592817402,037000758419,Discovered Walmart Item,Bounty,General Merchandise,,USD,1,1
Walmart,10450114,078742351865,"Great Value Whole Vitamin D Milk, Gallon",Great Value,Whole Milk,2.46,USD,1,1
Walmart,10291025,033200011101,"ARM & HAMMER Baking Soda for Cooking, Cleaning, Laundry, Deodorizing, & More, 1 lb Box",ARM & HAMMER,Baking Soda,1.52,USD,1,1
Walmart,10308182,051500242414,Butter Flavor All-Vegetable Shortening,Crisco,Make & eat pie,7.97,USD,1,1
Walmart,450346255,196005243952,"Crisco Pure Vegetable Oil, Cooking Oil, 16 fl oz",Crisco,Pantry Essentials,2.97,USD,1,1
Walmart,731592644,196005708345,"Crisco Pure Canola Oil, Cooking Oil, 40 fl oz",Crisco,Pantry Essentials,4.97,USD,1,1
Walmart,10308190,051500251959,"​​​Crisco All-Vegetable Butter Flavored Shortening Baking Sticks, Gluten Free Shortening, 20 oz​​",Crisco,Gluten Free Baking Ingredients,6.52,USD,1,1
Walmart,10308191,051500253625,"Crisco Pure Vegetable Oil, 48-Fluid Ounce",Crisco,Holiday helpers,4.97,USD,1,1
Walmart,10314925,078742371047,"Great Value 100% Whole Grain Old Fashioned Oats, 42 oz",Great Value,Hot Cereal & Grits,4.18,USD,1,1
Walmart,876483082,078742364629,"Great Value Baby Lima Beans, 1 lb",Great Value,Beans,1.98,USD,1,1
Walmart,10314940,078742371351,"Great Value Large Lima Beans, 16 oz",Great Value,Beans,1.98,USD,1,1
Walmart,545884744,078742364759,"Great Value Lentils, 1 lb",Great Value,Beans,1.92,USD,1,1
Walmart,963541867,078742364797,"Great Value Navy Beans, 16 oz",Great Value,Canned beans,1.33,USD,1,1
Walmart,716746746,078742364858,"Great Value Small Red Beans, 1 lb",Great Value,Beans,1.87,USD,1,1
Walmart,294723013,078742364810,"Great Value Kosher Pinto Beans, 16 oz",Great Value,Beans,1.0,USD,1,1
Walmart,10314950,078742371504,"Great Value Pure Vanilla Extract, 2 fl oz",Great Value,"All Vanilla Extract, Food Coloring & Spices",5.12,USD,1,1
Walmart,10314960,078742371603,"Great Value Cream of Mushroom Condensed Soup, 10.5 oz",Great Value,Condensed Soup,0.74,USD,1,1
Walmart,10314968,078742371825,"Great Value Brown Gravy Mix, 0.87 oz Packet",Great Value,Great Value spices and seasonings,0.57,USD,1,1
Walmart,10314970,078742371849,"Great Value Chicken Gravy Mix, 0.87 oz Packet",Great Value,Meal starters,0.92,USD,1,1
Walmart,10314980,080100004252,"Revlon Super Lustrous Creme Lipstick, Creamy Formula, 415 Pink In The Afternoon, 0.15 oz",Revlon,Lipstick,6.87,USD,1,1
Walmart,10314985,080100004610,"Revlon Super Lustrous Creme Lipstick, Creamy Formula, 440 Cherries in the Snow, 0.15 oz",Revlon,Lipstick,6.87,USD,1,1
Walmart,10314990,080100005020,"Revlon Super Lustrous Creme Lipstick, Creamy Formula, 405 Silver City Pink, 0.15 oz",Revlon,Lipstick,6.87,USD,1,1
Walmart,10315883,078742050720,"Great Value Long Grain Enriched Rice, 20 lb",Great Value,Stir fry rice and noodles,11.57,USD,1,1
Walmart,10315889,078742058566,"Great Value Cream of Celery Condensed Soup, 10.5 oz",Great Value,Condensed Soup,0.74,USD,1,1
Walmart,10315915,078742060439,"Great Value Extra Virgin Olive Oil Cooking Spray, 7 oz Can",Great Value,Cooking oils,4.78,USD,1,1
Walmart,10315918,078742061535,"Great Value Reduced Calorie Sugar Free Syrup, 24 fl oz",Great Value,Pancake and Waffle Toppings,2.44,USD,1,1
Walmart,10315924,078742064413,"Great Value Flour Tortilla Mix, 64 oz",Great Value,Hispanic Baking & Bakery,3.92,USD,1,1
Walmart,10315930,078742068459,"Great Value Sauerkraut, 14.5 oz",Great Value,All canned vegetables,1.37,USD,1,1
Walmart,10315955,078742073491,"Great Value Peas & Diced Carrots, 8.5 oz Can",Great Value,Canned carrots,0.72,USD,1,1
Walmart,10315960,078742074924,"Great Value Beef Burgers, 80% Lean/20% Fat, 3 lbs, 12 Count (Frozen)",Great Value,Ground Beef & Patties,14.97,USD,1,1
Walmart,10450117,078742351896,"Great Value Fat-Free Milk, Gallon, 128 fl oz",Great Value,Skim Milk,2.46,USD,1,1
Walmart,10450118,078742352008,"Great Value Milk Whole Vitamin D, Half Gallon, , 64 fl oz",Great Value,Whole Milk,1.48,USD,1,1
Walmart,10450119,078742352015,"Great Value , 2% Reduced Fat Milk, Half Gallon, 64 fl oz",Great Value,2% Milk,1.48,USD,1,1
Walmart,10450120,078742352039,"Great Value Milk, Fat Free, Unflavored, Half Gallon, 64 oz Jug",Great Value,Skim Milk,1.48,USD,1,1
Walmart,10450127,078742369266,"Great Value Original Vanilla Low-fat Yogurt, 32 oz Tub",Great Value,Traditional Yogurt,2.64,USD,1,1
Walmart,10452391,078742432908,"Great Value Fat-Free Cream Cheese Brick, 8 oz Block",Great Value,Great Value Cheese,1.56,USD,1,1
Walmart,10452392,078742228686,"Great Value Individually Plastic Wrapped Singles White American Cheese Product, 12 oz, 16 Slices",Great Value,American Cheese,1.98,USD,1,1
Walmart,11027099,010900000284,"Reynolds Wrap Heavy Duty Aluminum Foil, 18 Inch Width, 75 square feet",REYNOLDS WRAP,Shop All Aluminum Foil,10.17,USD,1,1
Walmart,11027101,010900003308,"Reynolds Cut-Rite Wax Paper, 75 Square Feet",Reynolds Kitchens,Parchment Paper,2.66,USD,1,1
Walmart,11027236,019200741866,"Lysol Disinfectant Spray, Sanitizing and Antibacterial Bathroom Spray, Deodorizer, Crisp Linen, 12.5 oz",Lysol,All Purpose Cleaners,6.27,USD,1,1
Walmart,13281640,070404000241,Pompeian Mild Taste Olive Oil - 16 fl oz,Pompeian,Pasta salads,6.58,USD,1,1
Walmart,14897447,726547383184,Women's Short-Sleeve Crochet Trim Tee,White Stag,Womens Blouses,4.56,USD,1,1
Walmart,15136791,027182028233,"80% Lean / 20% Fat Ground Beef Chuck, 1 lb Roll, Fresh, All Natural*",Fresh Beef,Ground Beef & Patties,6.93,USD,1,1
Walmart,15610357,019200800884,"Lysol Toilet Bowl Cleaner Clinging Gel, Lime & Rust Remover, Disinfecting Bathroom Cleaner and Toilet Bowl Stain Remover, 24 fl oz",Lysol,Bathroom Cleaners,2.67,USD,1,1
Walmart,16777402,078000053463,"A&W Zero Sugar Root Beer Soda Pop, 2 L, Bottle",A&W,Root Beer,2.14,USD,1,1
Walmart,16888922,072397008105,AcuRite 5-inch Capacity Glass Rain Gauge - Clear,AcuRite,Rain Gauges,3.48,USD,1,1
Walmart,16888924,072397008501,"AcuRite 5-inch Blue Capacity Magnifying Rain Gauge (2"" x 2.8"" x 12.5"")",AcuRite,Rain Gauges,5.97,USD,1,1
Walmart,16888932,073561001236,"Miracle-Gro Water Soluble All Purpose Plant Food, For All Plant Types, 5 lbs.",Miracle-Gro,All Purpose Plant Food,13.74,USD,1,1
Target,90000007,198101240828,"2pk Mini Spatula Set Matte Black - Figmint™: Stainless Steel Cookware Utensils, Dishwasher-Safe, Adult Kitchen Tools",Figmint,Cooking Utensil Sets,,USD,1,1
Target,90000013,650450076959,Incipio - Duo Case For iPhone 14 / 13 - Scarlet Red And Black,Incipio,Cell Phone Cases,,USD,1,1
Target,90000017,198101239778,"4.3qt Plastic Food Storage Canister - Brightroom™: Kitchen Organization, Clear Pantry Canister",Brightroom,Food Canisters & Jars,,USD,1,1
Target,90000024,190134100865,Primitives by Kathy Santa Block Christmas Sign,Primitives by Kathy,Wall Signs,,USD,1,1
Target,90000025,190134066802,"Primitives By Kathy Your Ornaments Are History Cat Kitchen Towel - 20"" x 26""",Primitives by Kathy,Kitchen Towels,,USD,1,1
Target,90000028,190134164034,Primitives By Kathy Red And Green Stripes Christmas Stocking,Primitives by Kathy,Christmas Stockings & Holders,,USD,1,1
Target,90000029,190134110598,Primitives by Kathy Merry Christmas Sitter Sign Decor,Primitives by Kathy,Christmas,,USD,1,1
Target,90000031,190134162832,"Primitives by Kathy Santa's Sleigh Christmas Pillow- Double Sided - 16"" x 16""",Primitives by Kathy,Throw Pillows,,USD,1,1
Target,90000032,190134040864,Primitives by Kathy It's Almost Time Christmas Anxiety Box Sign,Primitives by Kathy,Christmas,,USD,1,1
Target,90000033,883504283458,Primitives by Kathy Gus Mouse Critter,Primitives by Kathy,Christmas,,USD,1,1
Target,90000034,190134144609,Primitives by Kathy Natural Star Christmas Tree Topper,Primitives by Kathy,Christmas,,USD,1,1
Target,90000036,883504283281,Primitives by Kathy Sammy Mouse Critter,Primitives by Kathy,Christmas Decor Ideas,,USD,1,1
Target,90000038,190134153441,Primitives By Kathy Santa Claus Countdown Christmas Advent Box,Primitives by Kathy,Decorative Advent Calendars,,USD,1,1
Target,90000039,190134096595,"Primitives by Kathy Christmas Movies Pajama Pants and Cookies Kitchen Dish Towel - 28"" x 28""",Primitives by Kathy,Kitchen Towels,,USD,1,1
Target,90000044,883504283267,Primitives by Kathy Toby Mouse Critter,Primitives by Kathy,Christmas,,USD,1,1
Target,90000045,190134006068,Primitives By Kathy Dear Santa Define Good Wall Countdown,Primitives by Kathy,Decorative Advent Calendars,,USD,1,1
Target,90000046,190134008413,Primitives by Kathy Reindeer Treats Canister- 1 Container,Primitives by Kathy,Decorative Jars & Containers,,USD,1,1
Target,90000047,190134084141,"Primitives by Kathy Merry Christmas Plaid Kitchen Dish Towel - 20"" x 28""",Primitives by Kathy,Kitchen Towels,,USD,1,1
Target,90000048,190134064204,"Primitives by Kathy Ready Since Last Halloween Kitchen Towel - 28"" x 28""",Primitives by Kathy,Kitchen Towels,,USD,1,1
Target,90000049,190134008376,Primitives by Kathy Santa's Magic Key Vintage Ornament,Primitives by Kathy,Christmas,,USD,1,1
Target,90000050,190134043667,Primitives by Kathy Halloween Chunky Sitter Pumpkin Head - Trick or Treat-104366,Primitives by Kathy,Halloween,,USD,1,1
Target,90000051,190134008383,Primitives by Kathy Reindeer Feed Hinged Box,Primitives by Kathy,"Storage Cubes, Bins & Boxes",,USD,1,1
Target,90000052,883504245340,Primitives By Kathy Good Dog Wall Christmas Countdown Advent,Primitives by Kathy,Decorative Advent Calendars,,USD,1,1
Target,90000054,190134077266,Primitives by Kathy Retro Vintage Style Elf Christmas Ornament 5 inches,Primitives by Kathy,Christmas,,USD,1,1
Target,90000055,190134050535,Primitives by Kathy Santa's Magic Key Vintage Ornament,Primitives by Kathy,Christmas,,USD,1,1
Target,90000056,190134050559,Primitives by Kathy Santa's Magic Key Christmas Ornament,Primitives by Kathy,Christmas,,USD,1,1
Target,90000057,190134062316,"Primitives by Kathy Santa And Reindeer Entryway Christmas Indoor and Outdoor Door Mat Rug - 34"" x 20""",Primitives by Kathy,Accent Rugs,,USD,1,1
Target,90000060,197585799044,Men's Mickey & Friends Retro Character Print Button Down Shirt - Multi-Color - 2X Large,Mickey Mouse & Friends,Men's Movies & TV Graphic Tees & Tank Tops,,USD,1,1
Target,90000062,197585799006,Men's Mickey & Friends Retro Character Print Button Down Shirt - Multi-Color - Large,Mickey Mouse & Friends,Men's Movies & TV Graphic Tees & Tank Tops,,USD,1,1
Target,90000063,197585798993,Men's Mickey & Friends Retro Character Print Button Down Shirt - Multi-Color - Medium,Mickey Mouse & Friends,Men's Movies & TV Graphic Tees & Tank Tops,,USD,1,1
Target,90000064,197585799020,Men's Mickey & Friends Retro Character Print Button Down Shirt - Multi-Color - Small,Mickey Mouse & Friends,Men's Movies & TV Graphic Tees & Tank Tops,,USD,1,1
Target,90000065,197585799013,Men's Mickey & Friends Retro Character Print Button Down Shirt - Multi-Color - X Large,Mickey Mouse & Friends,Men's Movies & TV Graphic Tees & Tank Tops,,USD,1,1
Target,90000066,081483000756,"Lifetime 44"" Basketball Backboard and Rim Combo",Lifetime,Basketball Hoops,,USD,1,1
Target,90000067,841101006009,"Lifetime Adjustable In Ground 54"" Basketball Hoop - Clear/White/Black",Lifetime,Basketball Hoops,,USD,1,1
Target,90000068,081483715254,Lifetime Adjustable In Ground 54'' Basketball Hoop - White/Black,Lifetime,Basketball Hoops,,USD,1,1
Target,90000069,081483830803,"Lifetime 44"" Impact Poolside Portable Hoop",Lifetime,Basketball Hoops,,USD,1,1
